SchemeID	CertificateID	CertificateNumber	CertificateHolder	Title	CertificateSeries	Status	SheetID	ProductCodeId	Sheet	SheetType	Issue	SheetTitle	SheetStatus	FilePath	Abstract	Web	Material	Application	Style	GenericKeyword1	GenericKeyword2	GenericKeyword3	GenericKeyword4	WebSite	Telephone	AddressName	Street	Block	City	County	Country	CertificateFirstIssueDate	SheetPublishedDate	SheetWithdrswDate	SheetIssueDate	SheetSuspensionDate
1	31199	00/3665	Anglian Windows Limited	Anglian  PVC-U Conservatory System	Agrément Certificate	Current	311991	115	1	DE	1	Regulations	C	36\365i1.pdf		Y								http://www.anglianhome.co.uk	+44 (0)1603 787000	Contract HQ	Unit 4	PO Box 65	Norwich	Norfolk	United Kingdom	2000-03-28 00:00:00.0000000		2013-04-12 00:00:00.0000000	2009-12-08 00:00:00.0000000	
1	31212	00/3678	Polypipe Ltd t/a Polypipe Civils	Ridgidrain Advanced Drainage System	Agrément Certificate	Current	312126	160	3	PR	4	Ridgidrain (HDPE) 100 mm to 900 mm Pipes and Couplers	C	36\3678S3i4 .pdf	For use as filter and carrier drain pipes in surface water drainage systems.	Y	HDPE	Drainage						http://www.polypipe.com	+44 (0) 1509 615100	Contract HQ	Charnwood Business Park	North Road	Loughborough	Leicestershire	United Kingdom	2000-02-28 00:00:00.0000000	2019-02-21 00:00:00.0000000		2019-02-13 00:00:00.0000000	
